ID,Genre
433,Strategy
434,Action
435,Adventure
436,Strategy
437,Role-Playing
438,Strategy
439,Action
439,Adventure
440,Action
441,Action
441,Adventure
442,Action
443,Action
443,Adventure
444,Strategy
445,Strategy
446,Simulation
447,Role-Playing
448,Strategy
449,Driving
450,Simulation
451,Action
451,Adventure
452,Strategy
453,Action
454,Action
455,Adventure
456,Strategy
457,Action
458,Strategy
459,General
460,Role-Playing
461,Action
462,Action
463,Action
464,Role-Playing
465,Action
465,Adventure
466,Driving
467,Strategy
468,Action
469,Action
470,Strategy
471,Driving
472,Action
473,Strategy
474,Strategy
475,Role-Playing
476,Role-Playing
477,Action
478,Miscellaneous
479,Action
479,Adventure
480,Action
480,Adventure
481,Strategy
482,Role-Playing
483,Action
484,Miscellaneous
485,Strategy
486,Strategy
487,Strategy
488,Strategy
489,Role-Playing
490,Action
491,Historic
492,Action
492,Adventure
493,Role-Playing
494,Action
495,Action
496,Adventure
496,Games
497,Role-Playing
498,Sports
499,Adventure
500,Action
500,Adventure
501,Driving
502,Strategy
503,Sports
504,Driving
505,Sports
506,Role-Playing
507,Strategy
508,Role-Playing
509,Role-Playing
510,Action
511,Role-Playing
512,Strategy
513,Miscellaneous
514,Action
515,Action
515,Adventure
516,Action
517,Driving
518,Driving
519,Simulation
520,Action
521,Action
522,Action
523,Simulation
524,Role-Playing
525,Action
525,Adventure
526,Sports
527,Adventure
528,Role-Playing
529,Action
530,Sports
531,Action
532,Role-Playing
533,Action
534,Simulation
535,Driving
536,Role-Playing
537,Strategy
538,Role-Playing
539,Strategy
540,Driving
541,Action
541,Adventure
542,Action
543,Adventure
544,Driving
545,Action
545,Adventure
546,Action
547,Simulation
548,Adventure
549,Adventure
550,Strategy
551,Action
552,Strategy
553,Driving
554,Action
554,Adventure
555,Real-Time
555,Strategy
556,Action
557,Action
558,Action
559,Simulation
560,Action
560,Adventure
561,Sci-Fi
562,Role-Playing
563,Action
564,Adventure
565,Strategy
566,Driving
567,Role-Playing
568,Strategy
569,Role-Playing
570,Adventure
571,Action
571,Adventure
572,Modern
573,Strategy
574,Miscellaneous
575,Adventure
576,Miscellaneous
577,Simulation
578,Action
578,Adventure
579,Role-Playing
580,Adventure
581,Miscellaneous
582,Role-Playing
583,Role-Playing
584,Strategy
585,Strategy
586,Miscellaneous
587,Adventure
588,Role-Playing
589,Strategy
590,Adventure
591,Strategy
592,Action
593,Strategy
594,Sports
595,Role-Playing
596,Adventure
597,Action
597,Adventure
598,Action
598,Adventure
599,Driving
600,Driving
601,Adventure
602,Role-Playing
603,Strategy
604,Action
605,Action
606,General
607,Action
608,Action
608,Adventure
609,Strategy
610,Role-Playing
611,Driving
612,Sports
613,Role-Playing
614,Strategy
615,Action
616,Action
617,Role-Playing
618,Role-Playing
619,Strategy
620,Sports
621,Strategy
622,Strategy
623,Strategy
624,Adventure
625,Adventure
626,Massively
626,Multiplayer
627,Sports
628,Miscellaneous
629,Adventure
629,Games
630,Miscellaneous
631,Simulation
632,Action
633,Fantasy
634,Strategy
635,Action
636,Sports
637,Role-Playing
638,Adventure
639,Sports
640,Miscellaneous
641,Simulation
642,Role-Playing
643,Fantasy
644,Miscellaneous
645,Action
645,Adventure
646,Action
647,Driving
648,Role-Playing
649,Action
649,Adventure
650,Strategy
651,Simulation
652,Role-Playing
653,Action
654,Action
655,Action
656,Adventure
657,Simulation
658,Sports
659,Miscellaneous
660,Strategy
661,Action
661,Adventure
662,Driving
663,Sports
664,Massively
664,Multiplayer
665,Adventure
665,Games
666,Role-Playing
667,Sports
668,Driving
669,Action
670,Simulation
671,Adventure
672,Action
673,Action
674,Miscellaneous
675,Puzzle
676,Action
677,Role-Playing
678,Simulation
679,Action
680,Strategy
681,Adventure
682,Role-Playing
683,Strategy
684,Sci-Fi
685,Action
686,Role-Playing
687,Sports
688,Action
689,Action
689,Adventure
690,Action
690,Adventure
691,Action
692,Action
692,Adventure
693,Action
693,Adventure
694,Role-Playing
695,Adventure
696,Role-Playing
697,Action
698,Role-Playing
699,Action
700,Driving
701,Miscellaneous
702,Strategy
703,Adventure
704,Action
704,Adventure
705,Miscellaneous
706,Adventure
707,Action
708,Action
709,Strategy
710,Driving
711,Driving
712,Strategy
713,Miscellaneous
714,Role-Playing
715,Role-Playing
716,Driving
717,Strategy
718,Role-Playing
719,Adventure
720,Action
721,Role-Playing
722,Miscellaneous
723,Action
724,Other
724,Strategy
724,Games
725,Strategy
726,Action
726,Adventure
727,General
728,Strategy
729,Puzzle
730,Role-Playing
731,Action
732,Strategy
733,Miscellaneous
734,Action
735,Role-Playing
736,Sports
737,Strategy
738,Role-Playing
739,Role-Playing
740,Action
741,Simulation
742,Action
743,Strategy
744,Action
745,Role-Playing
746,Strategy
747,Role-Playing
748,Strategy
749,Simulation
750,Role-Playing
751,Action
752,Action
753,Strategy
754,Role-Playing
755,Strategy
756,Racing
757,Adventure
758,Strategy
759,Strategy
760,Action
761,Adventure
762,Action
763,Driving
764,Action
764,Adventure
765,Action
766,Action
767,Role-Playing
768,Action
769,Action
770,Driving
771,Strategy
772,Role-Playing
773,Action
774,Miscellaneous
775,Strategy
776,Strategy
777,Strategy
778,Sports
779,Strategy
780,Strategy
781,Role-Playing
782,Adventure
783,Action
784,Role-Playing
785,Strategy
786,Strategy
787,Strategy
788,Action
789,Action
789,Adventure
790,Driving
791,Adventure
792,Action
793,Strategy
794,Adventure
795,Action
795,Adventure
796,Action
797,Strategy
798,Action
799,Driving
800,Role-Playing
801,Adventure
802,Strategy
803,Sports
804,Miscellaneous
805,Role-Playing
806,Action
806,Adventure
807,Adventure
808,Action
808,Adventure
809,Simulation
810,Action
810,Adventure
811,Action
812,Action
812,Adventure
813,Action
814,Action
815,Role-Playing
816,Action
816,Adventure
817,Sports
818,Action
818,Adventure
819,Action
820,Strategy
821,Action
821,Adventure
822,Strategy
823,Strategy
824,Strategy
825,Action
826,Sports
827,Role-Playing
828,Sci-Fi
829,Driving
830,Adventure
831,Action
832,Adventure
833,Strategy
834,Strategy
835,Sports
836,Action
837,Action
837,Adventure
838,Role-Playing
839,Action
840,Role-Playing
841,Role-Playing
842,Miscellaneous
843,Action
844,Miscellaneous
845,Action
845,Adventure
846,Strategy
847,Action
848,Adventure
848,Games
849,General
850,Simulation
851,Action
852,Role-Playing
853,Sports
854,Role-Playing
855,Strategy
856,Role-Playing
857,Action
858,Action
859,Action
860,Action
861,First-Person
862,Role-Playing
863,Role-Playing
864,Strategy
865,Strategy
866,Strategy
867,Strategy
868,Miscellaneous
869,Adventure
870,Adventure
871,Action
871,Adventure
872,Strategy
873,Driving
874,Action
875,Action
876,Action
877,Action
878,Action
878,Adventure
879,Miscellaneous
880,Strategy
881,Action
881,Adventure
882,Console-style
882,RPG
883,Adventure
884,Strategy
885,Action
886,Strategy
887,Miscellaneous
888,Adventure
889,Action
890,Strategy
891,Sports
892,Action
892,Adventure
893,Action
894,Driving
895,Strategy
896,Action
897,Strategy
898,Strategy
899,Strategy
900,Action
901,Adventure
902,Action
903,Action
904,Action
905,Miscellaneous
906,Strategy
907,Action
907,Adventure
908,Adventure
909,Role-Playing
910,Action
911,Simulation
912,Adventure
913,Strategy
914,Strategy
915,Action
916,Strategy
917,Role-Playing
918,Driving
919,Adventure
920,Strategy
921,Adventure
922,Strategy
923,Strategy
924,Miscellaneous
925,Driving
926,Action
927,Strategy
928,Strategy
929,Simulation
930,Strategy
931,Miscellaneous
932,Sports
933,Adventure
934,Role-Playing
935,Strategy
936,Strategy
937,Simulation
938,Simulation
939,Strategy
940,Strategy
941,Action
942,Simulation
943,Strategy
944,Strategy
945,Adventure
946,Adventure
947,Action
948,Simulation
949,Sports
950,Action
951,Action
952,Role-Playing
953,Action
954,Action
954,Adventure
955,Miscellaneous
956,Driving
957,Action
958,Role-Playing
959,Action
959,Adventure
960,Action
961,Strategy
962,Miscellaneous
963,Adventure
964,Role-Playing
965,Adventure
966,Action
966,Adventure
967,Strategy
968,Adventure
969,Action
970,Simulation
971,Strategy
972,Action
973,Action
973,Adventure
974,Adventure
975,Driving
976,Action
977,Strategy
978,Strategy
979,Adventure
980,Adventure
981,Action
982,Role-Playing
983,Strategy
984,Action
985,Strategy
986,Strategy
987,Strategy
988,Action
989,Miscellaneous
990,Adventure
991,Role-Playing
992,Role-Playing
993,Racing
994,Adventure
995,Role-Playing
996,Action
997,Miscellaneous
998,Action
999,Action
999,Adventure
1000,Simulation
1001,Action
1001,Adventure
1002,Action
1003,Action
1004,General
1005,Action
1006,Role-Playing
1007,Strategy
1008,Action
1008,Adventure
1009,Puzzle
1010,Action
1011,Strategy
1012,Adventure
1013,Strategy
1014,Action
1015,Action
1015,Adventure
1016,Action
1017,Action
1017,Adventure
1018,Adventure
1019,Adventure
1020,Modern
1021,Strategy
1022,Strategy
1023,Role-Playing
1024,Driving
1025,Action
1025,Adventure
1026,Action
1026,Adventure
1027,Role-Playing
1028,Miscellaneous
1029,Adventure
1030,Role-Playing
1031,Strategy
1032,Strategy
1033,Action
1034,Action
1035,Driving
1036,Action
1037,Action
1038,Adventure
1039,Action
1040,Miscellaneous
1041,Racing
1042,Role-Playing
1043,Action
1044,Adventure
1045,Action
1046,Driving
1047,Action
1048,Sports
1049,Strategy
1050,Action
1051,Action
1052,Role-Playing
1053,Action
1054,Action
1055,Action
1055,Adventure
1056,Action
1057,Action
1058,Action
1058,Adventure
1059,Role-Playing
1060,Strategy
1061,Strategy
1062,Simulation
1063,Action
1064,Miscellaneous
1065,Action
1066,Strategy
1067,Role-Playing
1068,Action
1069,Strategy
1070,Adventure
1071,Adventure
1071,Games
1072,Adventure
1073,Puzzle
1074,Action
1075,Sports
1076,Action
1076,Adventure
1077,Action
1078,Action
1078,Adventure
1079,Sports
1080,Driving
1081,Action
1082,Strategy
1083,Sports
1084,Strategy
1085,Action
1086,Simulation
1087,Sports
1088,Role-Playing
1089,Action
1090,Action
1091,Action
1091,Adventure
1092,PC-style
1092,RPG
1093,Strategy
1094,Miscellaneous
1095,Simulation
1096,Strategy
1097,Role-Playing
1098,Miscellaneous
1099,Sports
1100,Strategy
1101,Action
1102,Simulation
1103,Driving
1104,Sports
1105,Action
1106,Action
1107,Strategy
1108,Miscellaneous
1109,Action
1110,Simulation
1111,Miscellaneous
1112,Action
1113,Action
1114,Action
1115,Action
1116,Strategy
1117,Role-Playing
1118,Sports
1119,Strategy
1120,Driving
1121,Strategy
1122,Action
1123,Action
1124,Role-Playing
1125,Role-Playing
1126,Role-Playing
1127,Adventure
1128,Action
1129,Role-Playing
1130,Action
1131,Strategy
1132,Strategy
1133,Driving
1134,Adventure
1135,Strategy
1136,Adventure
1137,Miscellaneous
1138,Adventure
1139,Action
1139,Adventure
1140,Action
1140,Adventure
1141,Sports
1142,Role-Playing
1143,Strategy
1144,Simulation
1145,Role-Playing
1146,Action
1147,Role-Playing
1148,Strategy
1149,Strategy
1150,Action
1150,Adventure
1151,Action
1152,Action
1152,Adventure
1153,Action
1154,Role-Playing
1155,Driving
1156,Strategy
1157,Strategy
1158,Adventure
1159,Action
1160,Driving
